City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
133,sharjah,0,AE,1559681099,17,25.36,55.39,102.2,5.82
134,talnakh,0,RU,1559681099,80,69.49,88.39,39.2,6.71
135,flin flon,40,CA,1559681099,37,54.77,-101.88,69.8,13.87
136,mandalgovi,100,MN,1559681100,38,45.76,106.27,51.61,12.73
137,husavik,88,CA,1559681100,43,50.56,-96.99,75.0,8.01
138,salalah,20,OM,1559681100,79,17.01,54.1,86.0,9.17
139,matara,43,PE,1559681101,32,-13.74,-72.9,55.93,9.89
140,baghdad,0,IQ,1559680867,20,33.3,44.38,93.2,9.17
141,kruisfontein,76,ZA,1559681101,81,-34.0,24.73,55.75,5.35
142,mogadishu,75,SO,1559681101,78,2.04,45.34,78.07,12.28
143,iquique,90,CL,1559680858,77,-20.22,-70.14,62.6,4.7
144,tokur,34,RU,1559681102,75,53.13,132.9,53.95,2.51
145,nhulunbuy,90,AU,1559681102,60,-12.18,136.78,73.4,17.22
146,xining,6,CN,1559681102,82,36.62,101.77,39.55,3.42
147,campoverde,0,IT,1559681102,82,41.54,12.73,66.99,6.93
148,constitucion,70,MX,1559681103,31,23.99,-104.67,82.0,8.01
149,new norfolk,20,AU,1559681103,70,-42.78,147.06,48.0,11.41
150,upernavik,2,GL,1559681103,87,72.79,-56.15,33.07,3.83
151,barrow,99,AR,1559681103,63,-38.31,-60.23,60.07,15.3
152,namatanai,83,PG,1559681103,88,-3.66,152.44,78.43,7.34
153,samarai,100,PG,1559681104,96,-10.62,150.67,73.93,6.04
154,westport,100,IE,1559681104,84,53.8,-9.52,53.01,3.0
155,upala,40,CR,1559681104,63,10.9,-85.02,91.4,4.7
156,japura,100,ID,1559681105,97,-0.42,102.29,74.11,2.21
157,mahebourg,40,MU,1559681105,60,-20.41,57.7,73.4,14.99
158,catuday,100,PH,1559681105,69,16.29,119.81,88.87,8.9
159,qaanaaq,72,GL,1559681105,93,77.48,-69.36,27.31,2.71
160,boguchany,96,RU,1559681105,75,58.38,97.46,48.73,1.01
161,souillac,100,FR,1559681106,82,45.6,-0.6,63.0,6.93
162,esperance,20,TT,1559681106,74,10.24,-61.45,86.0,16.11
163,riviere-au-renard,75,CA,1559681106,76,49.0,-64.4,53.6,4.7
164,yoichi,100,JP,1559681106,100,43.19,140.77,61.0,2.66
165,pierre,1,US,1559681106,51,44.37,-100.35,84.2,16.11
166,leiyang,100,CN,1559681107,79,26.42,112.85,78.07,6.46
167,denizli,0,TR,1559681107,63,37.77,29.09,63.0,4.7
168,taltal,0,CL,1559681107,52,-25.41,-70.49,69.25,4.72
169,smithers,90,CA,1559681107,58,54.78,-127.17,53.6,5.82
170,bathsheba,40,BB,1559681107,70,13.22,-59.52,86.0,19.46
171,abapo,0,BO,1559681107,34,-18.83,-63.47,73.21,4.68
172,karasjok,75,NO,1559681108,81,69.47,25.52,44.6,5.82
173,mae sai,20,MM,1559681108,88,20.44,99.89,78.8,3.36
174,umm lajj,2,SA,1559681108,55,25.02,37.27,89.59,7.96
175,pacific grove,20,US,1559681108,72,36.62,-121.92,91.99,10.29
176,faanui,0,PF,1559681108,70,-16.48,-151.75,81.49,12.26
177,noumea,90,NC,1559680900,82,-22.28,166.46,68.0,11.43
178,brainerd,1,US,1559681109,69,46.36,-94.2,80.01,6.93
179,henties bay,0,NA,1559681109,92,-22.12,14.28,54.0,4.0
180,dawson creek,20,CA,1559681109,33,55.76,-120.23,62.6,25.28
181,antanifotsy,75,MG,1559681109,92,-19.66,47.32,49.81,10.56
182,te anau,68,NZ,1559681109,94,-45.41,167.72,31.45,2.28
183,gat,40,SN,1559681109,78,14.69,-16.54,73.4,10.29
184,suntar,100,RU,1559681110,85,62.16,117.65,47.47,2.55
185,port elizabeth,1,US,1559681110,28,39.31,-74.98,75.99,9.17
186,shepsi,36,RU,1559681110,76,44.04,39.15,75.91,10.87
187,turochak,0,RU,1559681110,97,52.26,87.12,46.57,3.06
